tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
27.1,474.61549,2.25812,11.86539,0,0,0.37774,0
27.2,476.1185,2.26719,11.90296,0,0,0.37903,0
27.3,477754,2.27484,11.94385,0,0,0.38048,0
27.4,479.53837,2.28391,11.98846,0,0,0.38194,0
27.5,480.9591,2.29156,12.02398,0,0,0.38318,0
27.6,482.57262,2.29984,12.06432,0,0,0.38472,0
27.7,483.74576,2.30828,12.09364,0,0,0.38606,0
27.8,485.64295,2.31641,12.14107,0,0,0.38751,0
27.9,487.17419,2.32562,12.17935,0,0,0.38864,0
28,488.44763,2.33281,12.21119,0,0,0.38993,0
28.1,490.22497,2.34219,12.25562,0,0,0.39155,0
28.2,491.64412,2.34984,12.2911,0,0,0.39283,0
28.3,493.0445,2.35828,12.32611,0,0,0.39422,0
28.4,494.70975,2.36656,12.36774,0,0,0.39549,0
28.5,496.29589,2.37469,12.4074,0,0,0.39706,0
28.6,497.72211,2.38375,12.44305,0,0,0.39837,0
28.7,499.35994,2.39094,12484,0,0,0.39956,0
28.8,500.59729,2.40016,12.51493,0,0,0.40099,0
28.9,502.26175,2.40812,12.55654,0,0,0.40228,0
29,503.99597,2.41703,12.5999,0,0,0.40385,0
29.1,505.28743,2.42484,12.63219,0,0,0.40494,0
29.2,507.04279,2.43375,12.67607,0,0,0.40667,0
29.3,508.36247,2.44187,12.70906,0,0,0.40793,0
29.4,509.68528,2.44953,12.74213,0,0,0.40918,0
29.5,511.3082,2.45859,12.78271,0,0,0.41058,0
29.6,512.8175,2.46641,12.82044,0,0,0.41195,0
29.7,514337,2.47562,12.85843,0,0,0.41322,0
29.8,515.87373,2.48297,12.89684,0,0,0.41438,0
29.9,517.34229,2.49187,12.93356,0,0,0.41588,0
30,518.72856,2.5,12.96821,0,0,0.41714,0
30.1,520.20811,2.50797,13.0052,0,0,0.41844,0
30.2,521.63983,2.51656,13041,0,0,0.41966,0
30.3,523.3333,2.52469,13.08333,0,0,0.42133,0
30.4,524.75482,2.53359,13.11887,0,0,0.42243,0
30.5,526.04941,2.54125,13.15124,0,0,0.42353,0
30.6,527.52499,2.55016,13.18812,0,0,0.42518,0
30.7,528.88384,2.55812,13.2221,0,0,0.42623,0
30.8,530.69801,2.56672,13.26745,0,0,0.42773,0
30.9,531.82566,2.57484,13.29564,0,0,429,0
31,533.51363,2.58344,13.33784,0,0,0.43022,0
31.1,534.90149,2.59219,13.37254,0,0,0.43143,0
31.2,536.18038,2.59953,13.40451,0,0,0.43312,0
31.3,537.74612,2.60859,13.44365,0,0,0.43429,0
31.4,539.20685,2.61656,13.48017,0,0,0.43551,0
31.5,540.62367,2.62531,13.51559,0,0,0.4368,0
31.6,542.06871,2.63328,13.55172,0,0,0.43798,0
31.7,543.46831,2.64172,13.58671,0,0,0.43965,0
31.8,544.95879,2.65,13.62397,0,0,0.44072,0
